NFA	NFA-SHIC	RUB-USPH	NFMFA-SC	NFA-ROBR	MFA-TODC	NFA-SLAR	NFA-SAIC	NFA-INDC	NFA-POND	MFA-AMEC	MFA-GASC	NFA-BUNC	MFA-US-R	NFA-EUCHDS	NFA-EUCHUS	RUB-LC-US	NFA-NFNFA
0	9245.94245047155	76608.24485643604	74800.97402892743	1273.5922425280223	49451.93949024967	1939.1966573309473	45763.06591188243	7567.769970348221	17053.68106180711	44346.25376215895	48429.99735540124	10630.950841862581	76124.51639345921	21429.005288748103	22840.986084409302	81109.61122662714	21857.278277170415
9245.94245047155	0	67362.30240596448	65555.03157845589	7972.3502079435275	40205.99703977812	7306.7457931406025	55009.00836235398	1678.1724801233286	7807.738611335559	35100.3113116874	39184.05490492969	1385.0083913910319	66878.57394298766	30674.947739219653	32086.92853488085	71863.66877615558	31103.220727641965
76608.24485643604	67362.30240596448	0	5401.488779884785	75334.65261390801	27156.30536618635	74669.04819910508	122371.31076831846	69040.47488608782	59554.56379462892	32261.99109427707	28178.24750103478	65977.29401457345	1706.314214527185	98037.25014518414	99449.23094084533	4501.366370191107	98465.52313360645
74800.97402892745	65555.03157845589	5401.488779884784	0	73527.38178639942	25349.03453867776	72861.77737159649	120564.03994080987	67233.20405857923	57747.29296712033	30454.72026676848	26370.97667352619	64170.02318706486	4917.760316907967	96229.97931767555	97641.96011333674	9902.855150075891	96658.25230609786
1273.5922425280223	7972.3502079435275	75334.65261390801	73527.38178639942	0	48178.34724772166	665.604414802925	47036.658154410456	6294.177727820199	15780.088819279086	43072.661519630936	47156.405112873224	9357.358599334559	74850.92415093118	22702.597531276126	24114.578326937324	79836.01898409911	23130.870519698437
49451.93949024968	40205.99703977813	27156.30536618635	25349.03453867776	48178.34724772166	0	47512.74283291873	95215.00540213211	41884.16951990146	32398.25842844257	5105.685728090721	1021.942134848432	38820.988648387094	26672.57690320953	70880.94477899779	72292.92557465898	31657.671736377455	71309.2177674201
1939.1966573309473	7306.7457931406025	74669.04819910508	72861.7773715965	665.604414802925	47512.742832918724	0	47702.26256921338	5628.573313017274	15114.484404476161	42407.057104828	46490.80069807029	8691.754184531634	74185.31973612825	23368.20194607905	24780.18274174025	79170.41456929618	23796.474934501362
45763.06591188243	55009.00836235398	122371.31076831846	120564.03994080987	47036.658154410456	95215.00540213211	47702.26256921338	0	53330.835882230655	62816.746973689544	90109.31967404138	94193.06326728368	56394.01675374502	121887.58230534164	24334.06062313433	22922.07982747313	126872.67713850956	23905.78763471202
7567.769970348221	1678.1724801233286	69040.47488608782	67233.20405857921	6294.177727820199	41884.16951990145	5628.573313017274	53330.835882230655	0	9485.911091458887	36778.48379181073	40862.22738505302	3063.1808715143607	68556.74642311099	28996.775259096325	30408.756054757523	73541.84125627892	29425.048247518636
17053.681061807103	7807.738611335553	59554.56379462892	57747.29296712032	15780.08881927908	32398.25842844257	15114.484404476156	62816.74697368954	9485.911091458882	0	27292.572700351848	31376.316293594136	6422.730219944524	59070.835331652095	38482.6863505552	39894.66714621641	64055.93016482003	38910.95933897752
44346.25376215895	35100.3113116874	32261.99109427707	30454.72026676848	43072.66151963093	5105.685728090721	42407.057104828	90109.31967404138	36778.48379181073	27292.57270035185	0	4083.7435932422886	33715.30292029637	31778.26263130025	65775.25905090706	67187.23984656825	36763.35746446818	66203.53203932937
48429.99735540125	39184.0549049297	28178.24750103478	26370.97667352619	47156.405112873224	1021.942134848432	46490.8006980703	94193.06326728368	40862.227385053026	31376.316293594136	4083.7435932422886	0	37799.04651353866	27694.519038057962	69859.00264414935	71270.98343981054	32679.613871225887	70287.27563257166
10630.950841862585	1385.0083913910348	65977.29401457345	64170.02318706484	9357.358599334562	38820.988648387094	8691.754184531637	56394.01675374502	3063.1808715143634	6422.730219944524	33715.30292029637	37799.04651353866	0	65493.56555159662	32059.956130610688	33471.93692627188	70478.66038476455	32488.229119033
76124.5163934592	66878.57394298766	1706.314214527184	4917.760316907967	74850.92415093118	26672.57690320953	74185.31973612827	121887.58230534164	68556.74642311098	59070.835331652095	31778.26263130025	27694.519038057962	65493.56555159662	0	97553.52168220731	98965.5024778685	6207.680584718291	97981.79467062962
21429.005288748103	30674.947739219653	98037.25014518414	96229.97931767553	22702.597531276126	70880.94477899777	23368.20194607905	24334.06062313433	28996.775259096325	38482.68635055522	65775.25905090704	69859.00264414934	32059.956130610684	97553.52168220731	0	1411.9807956611985	102538.61651537524	428.27298842231176
22840.986084409302	32086.92853488085	99449.23094084533	97641.96011333673	24114.578326937324	72292.92557465896	24780.18274174025	22922.07982747313	30408.756054757523	39894.66714621641	67187.23984656823	71270.98343981053	33471.93692627188	98965.5024778685	1411.9807956611985	0	103950.59731103643	983.7078072388867
81109.61122662714	71863.66877615558	4501.366370191107	9902.855150075895	79836.01898409911	31657.67173637746	79170.41456929618	126872.67713850956	73541.84125627892	64055.930164820034	36763.35746446818	32679.61387122589	70478.66038476455	6207.680584718291	102538.61651537524	103950.59731103643	0	102966.88950379755
21857.278277170415	31103.220727641965	98465.52313360645	96658.25230609784	23130.870519698437	71309.21776742008	23796.474934501362	23905.78763471202	29425.048247518636	38910.959338977525	66203.53203932935	70287.27563257165	32488.229119032996	97981.79467062962	428.27298842231176	983.7078072388867	102966.88950379755	0
