fst,fst_adj,site_pair,siteA,siteB,REG,river,regtype,dist_km,regType
0.125107,0.183787,bear.bear_grhn,bear,bear_grhn,REG,bear,bypass,19.837034845176703,Bypass
0.102724,0.093916,bear.bear_sth2,bear,bear_sth2,REG,bear,bypass,2.9359404783014154,Bypass
0.196641,0.173942,bear.bear_stha,bear,bear_stha,REG,bear,bypass,2.0571845421543147,Bypass
0.085529,0.086479,bear.bear_sthc,bear,bear_sthc,REG,bear,bypass,4.75653345615643,Bypass
0.074278,0.139693,bear_grhn.bear_sth2,bear_grhn,bear_sth2,REG,bear,bypass,22.772975323478114,Bypass
0.293628,0.259768,bear_grhn.bear_stha,bear_grhn,bear_stha,REG,bear,bypass,21.894219387331017,Bypass
0.063131,0.136337,bear_grhn.bear_sthc,bear_grhn,bear_sthc,REG,bear,bypass,24.593568301333132,Bypass
0.284824,0.154847,bear_sth2.bear_stha,bear_sth2,bear_stha,REG,bear,unregulated,1.7434563492465618,Unregulated
0.12128800000000001,0.208857,mfa_amec.mfa_gasc,mfa_amec,mfa_gasc,REG,mfa,hydropeaking,4.723281620543748,Hydropeaking
0.122239,0.21427,mfa_amec.mfa_todc,mfa_amec,mfa_todc,REG,mfa,hydropeaking,5.585009962243479,Hydropeaking
0.146857,0.237948,mfa_amec.nfmfa_sc,mfa_amec,nfmfa_sc,REG,mfa,hydropeaking,30.994697934476836,Hydropeaking
0.128609,0.252133,mfa_amec.rub_lcus,mfa_amec,rub_lcus,REG,mfa,hydropeaking,36.69574455531732,Hydropeaking
0.142379,0.261847,mfa_amec.rub_usph,mfa_amec,rub_usph,REG,mfa,hydropeaking,32.345516016629816,Hydropeaking
0.100351,0.168044,mfa_gasc.mfa_todc,mfa_gasc,mfa_todc,REG,mfa,hydropeaking,1.7367342690374608,Hydropeaking
0.122127,0.221388,mfa_gasc.nfmfa_sc,mfa_gasc,nfmfa_sc,REG,mfa,hydropeaking,27.146422241270823,Hydropeaking
0.11966,0.244797,mfa_gasc.rub_lcus,mfa_gasc,rub_lcus,REG,mfa,hydropeaking,32.8474688621113,Hydropeaking
0.129383,0.254132,mfa_gasc.rub_usph,mfa_gasc,rub_usph,REG,mfa,hydropeaking,28.497240323423796,Hydropeaking
0.076097,0.229105,mfa_todc.nfmfa_sc,mfa_todc,nfmfa_sc,REG,mfa,hydropeaking,26.14143838471642,Hydropeaking
0.094198,0.244742,mfa_todc.rub_lcus,mfa_todc,rub_lcus,REG,mfa,hydropeaking,31.842485005556906,Hydropeaking
0.086328,0.250661,mfa_todc.rub_usph,mfa_todc,rub_usph,REG,mfa,hydropeaking,27.4922564668694,Hydropeaking
0.071639,0.14084,nfmfa_sc.rub_lcus,nfmfa_sc,rub_lcus,REG,nfmfa,hydropeaking,10.408170063938012,Hydropeaking
0.047727,0.141465,nfmfa_sc.rub_usph,nfmfa_sc,rub_usph,REG,nfmfa,hydropeaking,6.057941525250507,Hydropeaking
0.073676,0.146182,rub_lcus.rub_usph,rub_lcus,rub_usph,REG,rub,bypass,4.350228538687506,Bypass
0.025204,0.105673,nfa.nfa_bunc,nfa,nfa_bunc,U,nfa,unregulated,10.836549790283764,Unregulated
0.023838,0.083776,nfa.nfa_euchds,nfa,nfa_euch,U,nfa,unregulated,21.310817859927788,Unregulated
0.025315,0.076548,nfa.nfa_indc,nfa,nfa_indc,U,nfa,unregulated,7.672323396004329,Unregulated
0.063382,0.107976,nfa.nfa_pond,nfa,nfa_pond,U,nfa,unregulated,16.919815995894282,Unregulated
0.035979,0.053985,nfa.nfa_robr,nfa,nfa_robr,U,nfa,unregulated,1.3922500387591255,Unregulated
0.029187,0.122777,nfa.nfa_saic,nfa,nfa_saic,U,nfa,unregulated,48.856516989433786,Unregulated
0.028782,0.069103,nfa.nfa_shic,nfa,nfa_shic,U,nfa,unregulated,9.245942450471508,Unregulated
0.030556,0.073352,nfa.nfa_slar,nfa,nfa_slar,U,nfa,unregulated,2.0617145744588616,Unregulated
0.058753,0.145593,nfa_bunc.nfa_euchds,nfa_bunc,nfa_euch,U,nfa,unregulated,32.14736765021156,Unregulated
0.058168,0.127192,nfa_bunc.nfa_indc,nfa_bunc,nfa_indc,U,nfa,unregulated,3.358422593102352,Unregulated
0.128411,0.155598,nfa_bunc.nfa_pond,nfa_bunc,nfa_pond,U,nfa,unregulated,6.494464102457617,Unregulated
0.064649,0.127573,nfa_bunc.nfa_robr,nfa_bunc,nfa_robr,U,nfa,unregulated,9.68161534398772,Unregulated
0.101051,0.179976,nfa_bunc.nfa_saic,nfa_bunc,nfa_saic,U,nfa,unregulated,59.693066779717554,Unregulated
0.045914,0.103439,nfa_bunc.nfa_shic,nfa_bunc,nfa_shic,U,nfa,unregulated,1.5906073398122558,Unregulated
0.074799,0.140241,nfa_bunc.nfa_slar,nfa_bunc,nfa_slar,U,nfa,unregulated,9.01987105008116,Unregulated
0.058851,0.117646,nfa_euchds.nfa_indc,nfa_euch,nfa_indc,U,nfa,unregulated,28.983141255932118,Unregulated
0.124314,0.158012,nfa_euchds.nfa_pond,nfa_euch,nfa_pond,U,nfa,unregulated,38.23063385582208,Unregulated
0.062168,0.117299,nfa_euchds.nfa_robr,nfa_euch,nfa_robr,U,nfa,unregulated,22.703067898686918,Unregulated
0.087197,0.143737,nfa_euchds.nfa_saic,nfa_euch,nfa_saic,U,nfa,unregulated,27.545699129506,Unregulated
