NFA	NFA-SHIC	RUB-USPH	NFMFA-SC	NFA-ROBR	MFA-TODC	NFA-SLAR	NFA-SAIC	NFA-INDC	NFA-POND	MFA-AMEC	MFA-GASC	NFA-BUNC	MFA-US-R	NFA-EUCHDS	NFA-EUCHUS	RUB-LC-US	NFA-NFNFA
0	9245.942450471508	76407.83791452616	75057.01983237317	1392.2500387591253	49647.331860139835	2061.7145744588615	48856.51698943379	7672.323396004329	16919.81599589428	44466.3920251601	48785.603518440104	10836.549790283763	75771.86271703616	21310.81785992779	22675.389143076412	80758.06645321367	21739.090848352003
9245.942450471506	0	67161.89546405466	65811.07738190168	8091.008004175466	40401.38940966832	7429.263710268907	58102.459439905295	1767.8152532900967	7673.873545422775	35220.449574688595	39539.66106796859	1590.6073398122555	66525.92026656466	30556.7603103993	31921.331593547926	71512.12400274217	30985.033298823517
76407.83791452616	67161.89546405466	0	6057.941525250506	75252.90346823013	27492.256466869403	74591.15917432356	125264.35490395996	68929.71071734476	59488.021918631886	32345.516016629816	28497.240323423794	65982.4860210895	1754.0674800183147	97718.65577445396	99083.22705760258	4350.228538687505	98146.92876287817
75057.01983237317	65811.07738190168	6057.941525250507	0	73902.08538607715	26141.43838471642	73240.34109217058	123913.53682180698	67578.89263519178	58137.20383647891	30994.697934476837	27146.42224127082	64631.66793893653	5421.9663277605	96367.83769230098	97732.4089754496	10408.170063938012	96796.11068072519
1392.2500387591251	8091.008004175466	75252.90346823011	73902.08538607713	0	48492.39741384379	906.7801281628199	50248.76702819292	6517.388949708289	15764.881549598242	43311.45757886406	47630.66907214406	9681.615343987722	74616.92827074011	22703.067898686917	24067.63918183554	79603.13200691763	23131.34088711113
49647.331860139835	40401.38940966832	27492.2564668694	26141.43838471642	48492.39741384379	0	47830.65311993723	98503.84884957362	42169.204662958415	32727.51586424555	5585.009962243479	1736.7342690374608	39221.97996670316	26856.28126937939	70958.14972006762	72322.72100321624	31842.485005556908	71386.42270849184
2061.7145744588615	7429.263710268908	74591.15917432356	73240.34109217058	906.7801281628199	47830.653119937226	0	50918.23156389265	5855.644655801731	15103.137255691683	42649.7132849575	46968.924778237495	9019.871050081163	73955.18397683356	23372.532434386652	24737.103717535276	78941.38771301108	23800.805422810867
48856.51698943379	58102.459439905295	125264.35490395996	123913.53682180698	50248.76702819292	98503.84884957364	50918.23156389266	0	56528.84038543812	65776.33298532807	93322.9090145939	97642.12050787389	59693.066779717556	124628.37970646996	27545.699129506	26181.127846357376	129614.58344264748	27117.426141081785
7672.32339600433	1767.8152532900972	68929.71071734476	67578.89263519178	6517.388949708289	42169.204662958415	5855.644655801731	56528.84038543812	0	9441.688798712872	36988.26482797869	41307.476321258684	3358.422593102353	68293.73551985476	28983.141255932118	30347.71253908075	73279.93925603227	29411.41424435634
16919.815995894285	7673.873545422775	59488.021918631886	58137.203836478904	15764.881549598242	32727.515864245543	15103.137255691683	65776.33298532807	9441.688798712872	0	27546.576029265812	31865.78752254582	6494.4641024576185	58852.04672114188	38230.633855822074	39595.2051389707	63838.25045731939	38658.90684424629
44466.392025160094	35220.44957468859	32345.516016629816	30994.697934476837	43311.45757886405	5585.009962243479	42649.7132849575	93322.9090145939	36988.26482797868	27546.576029265816	0	4723.281620543748	34041.04013172343	31709.54081913981	65777.2098850879	67141.78116823651	36695.74455531732	66205.48287351211
48785.603518440104	39539.66106796859	28497.240323423797	27146.422241270822	47630.669072144054	1736.7342690374608	46968.9247782375	97642.1205078739	41307.476321258684	31865.787522545823	4723.281620543749	0	38360.25162500343	27861.265125933787	70096.4213783679	71460.99266151652	32847.4688621113	70524.69436679212
10836.549790283761	1590.6073398122558	65982.4860210895	64631.667938936516	9681.615343987722	39221.97996670316	9019.871050081161	59693.066779717556	3358.422593102352	6494.464102457618	34041.040131723435	38360.25162500343	0	65346.5108235995	32147.367650211556	33511.93893336018	70332.71455977701	32575.64063863577
75771.86271703616	66525.92026656466	1754.0674800183149	5421.966327760498	74616.92827074013	26856.28126937939	73955.18397683356	124628.37970646996	68293.73551985476	58852.04672114188	31709.540819139806	27861.265125933787	65346.5108235995	0	97082.68057696396	98447.25186011258	6104.29601870582	97510.95356538818
21310.81785992779	30556.7603103993	97718.65577445396	96367.83769230098	22703.067898686917	70958.14972006762	23372.532434386652	27545.699129506	28983.141255932118	38230.633855822074	65777.2098850879	70096.4213783679	32147.367650211556	97082.68057696396	0	1364.571283148624	102068.88431314148	428.27298842421504
22675.389143076412	31921.331593547926	99083.22705760258	97732.4089754496	24067.63918183554	72322.72100321625	24737.103717535276	26181.127846357376	30347.71253908075	39595.2051389707	67141.78116823651	71460.9926615165	33511.93893336017	98447.25186011258	1364.5712831486237	0	103433.45559629009	936.2982947244087
80758.06645321367	71512.12400274217	4350.2285386875055	10408.170063938012	79603.13200691764	31842.485005556904	78941.38771301108	129614.58344264748	73279.93925603227	63838.25045731939	36695.744555317324	32847.4688621113	70332.71455977701	6104.29601870582	102068.88431314148	103433.45559629009	0	102497.15730156569
21739.090848352003	30985.033298823517	98146.92876287817	96796.11068072519	23131.34088711113	71386.42270849185	23800.805422810867	27117.426141081785	29411.41424435634	38658.90684424629	66205.48287351211	70524.6943667921	32575.64063863577	97510.95356538818	428.27298842421504	936.2982947244087	102497.15730156569	0
