MFY-OREGCk	SFY-HUMBUG	SFY-RockCk	SFY-ShadyCk	SFY-SpringCk	SFY-Scotchman	NFY-SLATE	MFY-US-OH	NFY	DEER-ClearCk	MFY-Remmington	SFY-MISC	SFY-LOGA	DEER-CLEC	SFY	MFY-GRIZZLY_CK	NFY-SLATE-CGRav	NFY-SLATE-Onion	SFY-MCKI	SFY-THIMC	SFY-FallCk
0	65726.94293223033	55039.3174830907	49568.03959742827	54712.54095163466	84304.23688876304	74347.72717480603	20021.61734532399	56068.42194141729	57476.846888126485	19753.42503415404	69431.08396875979	73525.47666740484	57476.846888126485	84323.2717438216	16427.978828316594	75778.47245256297	59540.234760680854	77036.3189341271	74775.96984164388	84060.65084841051
65726.94293223033	0	10687.625449139643	37542.89426980732	11124.67005562966	25749.657377293894	110761.36799345633	71264.49444892527	92482.06276006758	64804.105762534055	70996.30213775531	10876.504457290654	14970.897155935692	64804.105762534055	25768.692232352463	67670.85593191786	112192.11327121327	95953.87557933114	18481.739422657953	16221.390330174732	25506.071336941368
55039.317483090694	10687.625449139643	0	26855.268820667676	437.04460649001885	29264.91940567235	100073.74254431669	60576.868999785605	81794.43731092794	54116.48031339442	60308.676688615655	14391.766485669108	18486.159184314147	54116.48031339442	29283.95426073092	56983.230482778214	101504.48782207363	85266.25013019149	21997.00145103641	19736.652358553187	29021.333365319824
49568.039597428266	37542.89426980732	26855.268820667676	0	26528.492289211645	56120.188226340026	94602.46465865427	55105.59111412318	76323.15942526552	48645.202427731994	54837.39880295323	41247.03530633679	45341.428004981826	48645.202427731994	56139.2230813986	51511.952597115785	96033.20993641121	79794.97224452907	48852.27027170409	46591.921179220866	55876.60218598751
54712.54095163466	11124.67005562966	437.04460649001885	26528.492289211645	0	29701.964012162367	99746.96601286066	60250.092468329574	81467.66077947192	53789.70378193839	59981.900157159624	14828.811092159127	18923.203790804164	53789.70378193839	29720.998867220937	56656.45395132218	101177.7112906176	84939.47359873547	22434.046057526426	20173.696965043204	29458.37797180984
84304.23688876304	25749.657377293894	29264.91940567235	56120.188226340026	29701.964012162367	0	129338.66194998904	89841.78840545798	111059.35671660029	83381.39971906676	89573.59609428802	19065.24154205075	16433.562969613482	83381.39971906676	10346.096284768302	86248.14988845057	130769.40722774598	114531.16953586385	12598.099881412802	13377.460969657712	10083.475389357207
74347.72717480603	110761.36799345633	100073.74254431669	94602.46465865427	99746.96601286066	129338.66194998904	0	79885.27869150096	44095.268434166836	102511.27194935246	79617.086380331	114465.5090299858	118559.90172863082	102511.27194935246	129357.6968050476	76291.64017449357	2354.354713268047	18822.712354188072	122070.7439953531	119810.39490286987	129095.07590963651
20021.617345323994	71264.49444892525	60576.868999785605	55105.59111412318	60250.09246832957	89841.78840545796	79885.27869150095	0	61605.9734581122	63014.39840482139	268.1923111699539	74968.63548545471	79063.02818409973	63014.39840482139	89860.82326051652	8093.722436604449	81316.02396925789	65077.78627737576	82573.87045082203	80313.52135833878	89598.20236510543
56068.42194141728	92482.06276006758	81794.43731092794	76323.15942526552	81467.66077947192	111059.35671660029	44095.26843416683	61605.973458112196	0	84231.96671596372	61337.781146942245	96186.20379659705	100280.59649524209	84231.96671596372	111078.39157165885	58012.3349411048	45526.01371192376	29287.776020041638	103791.43876196435	101531.08966948112	110815.77067624776
57476.84688812648	64804.10576253406	54116.48031339442	48645.202427731994	53789.703781938384	83381.39971906677	102511.27194935248	63014.3984048214	84231.96671596373	0	62746.206093651446	68508.24679906353	72602.63949770856	0	83400.43457412533	59420.759887814	103942.01722710942	87703.77953522728	76113.48176443084	73853.1326719476	83137.81367871424
19753.42503415404	70996.3021377553	60308.676688615655	54837.39880295323	59981.900157159616	89573.596094288	79617.08638033099	268.1923111699539	61337.78114694225	62746.20609365144	0	74700.44317428475	78794.83587292978	62746.20609365144	89592.63094934657	7825.530125434495	81047.83165808793	64809.593966205815	82305.67813965207	80045.32904716882	89330.01005393548
69431.08396875979	10876.504457290655	14391.766485669112	41247.03530633679	14828.811092159129	19065.24154205075	114465.5090299858	74968.63548545472	96186.20379659705	68508.24679906352	74700.44317428477	0	8286.481320692548	68508.24679906352	19084.276397109323	71374.99696844733	115896.25430774274	99658.0166158606	11797.323587414809	9536.974494931586	18821.655501698227
73525.47666740484	14970.897155935692	18486.159184314147	45341.428004981826	18923.203790804164	16433.562969613482	118559.90172863084	79063.02818409976	100280.59649524209	72602.63949770856	78794.8358729298	8286.481320692546	0	72602.63949770856	16452.597824672055	75469.38966709237	119990.64700638778	103752.40931450564	9165.645014977541	6905.295922494321	16189.976929260962
57476.84688812648	64804.10576253406	54116.48031339442	48645.202427731994	53789.703781938384	83381.39971906677	102511.27194935248	63014.3984048214	84231.96671596373	0	62746.206093651446	68508.24679906353	72602.63949770856	0	83400.43457412533	59420.759887814	103942.01722710942	87703.77953522728	76113.48176443084	73853.1326719476	83137.81367871424
84323.2717438216	25768.692232352467	29283.954260730923	56139.2230813986	29720.99886722094	10346.096284768302	129357.6968050476	89860.82326051655	111078.39157165887	83400.43457412533	89592.6309493466	19084.276397109326	16452.597824672055	83400.43457412533	0	86267.18474350913	130788.44208280454	114550.20439092243	12617.134736471377	13396.495824716287	262.6208954110957
16427.978828316598	67670.85593191785	56983.23048277822	51511.95259711579	56656.45395132218	86248.14988845056	76291.64017449356	8093.722436604448	58012.33494110481	59420.759887814005	7825.530125434494	71374.99696844732	75469.38966709236	59420.759887814005	86267.18474350912	0	77722.3854522505	61484.147760368374	78980.23193381462	76719.88284133139	86004.56384809803
75778.47245256297	112192.11327121327	101504.48782207363	96033.20993641121	101177.7112906176	130769.40722774598	2354.354713268047	81316.0239692579	45526.01371192377	103942.0172271094	81047.83165808795	115896.25430774274	119990.64700638776	103942.0172271094	130788.44208280454	77722.38545225051	0	20253.457631945006	123501.48927311004	121241.14018062681	130525.82118739345
59540.23476068085	95953.87557933114	85266.25013019149	79794.97224452907	84939.47359873547	114531.16953586385	18822.712354188072	65077.78627737577	29287.776020041634	87703.77953522727	64809.59396620582	99658.0166158606	103752.40931450564	87703.77953522727	114550.20439092242	61484.14776036837	20253.457631945006	0	107263.25158122792	105002.90248874467	114287.58349551132
77036.3189341271	18481.739422657953	21997.00145103641	48852.27027170409	22434.046057526426	12598.099881412802	122070.7439953531	82573.87045082204	103791.43876196435	76113.48176443082	82305.67813965208	11797.323587414807	9165.645014977543	76113.48176443082	12617.134736471377	78980.23193381463	123501.48927311004	107263.25158122792	0	6109.543015021773	12354.513841060281
74775.96984164388	16221.390330174732	19736.652358553187	46591.921179220866	20173.696965043204	13377.460969657712	119810.39490286987	80313.5213583388	101531.08966948112	73853.13267194759	80045.32904716884	9536.974494931586	6905.295922494321	73853.13267194759	13396.495824716287	76719.8828413314	121241.14018062681	105002.90248874467	6109.5430150217735	0	13133.874929305191
