MFY-OREGCk	SFY-HUMBUG	SFY-RockCk	SFY-ShadyCk	SFY-SpringCk	SFY-Scotchman	NFY-SLATE	NFY-SLATE-CGRav	MFY-US-OH	NFY	MFY-Remmington	SFY-MISC	SFY-LOGA	SFY	MFY-GRIZZLY_CK	NFY-SLATE-Onion	SFY-MCKI	SFY-THIMC	SFY-FallCk
0	59718.764681324734	50988.038987707885	44457.6808160485	50572.33470251946	75152.21046359364	65225.20647745341	65225.20647745341	9674.727031206763	52203.96073608953	9574.727031206836	64074.77448646952	66680.77327019704	80251.56345883635	3931.0465543965547	57416.470466814026	69061.07045615015	67992.55631566452	79975.57863681008
59718.764681324734	0	8730.725693616849	15261.083865276232	9146.429978805274	15433.445782268904	103800.81346839076	103800.81346839076	69393.4917125315	90779.56772702686	69293.49171253157	4356.009805144786	6962.008588872308	20532.798777511613	63649.81123572129	95992.07745775138	9342.305774825414	8273.791634339785	20256.813955485348
50988.03898770788	8730.725693616849	0	6530.3581716593835	415.7042851884253	24164.171475885752	95070.08777477391	95070.08777477391	60662.76601891464	82048.84203341002	60562.766018914714	13086.735498761635	15692.734282489157	29263.52447112846	54919.08554210443	87261.35176413454	18073.031468442263	17004.517327956633	28987.539649102197
44457.68081604849	15261.083865276232	6530.3581716593835	0	6114.653886470958	30694.529647545136	88539.72960311452	88539.72960311452	54132.40784725525	75518.48386175065	54032.40784725532	19617.093670421018	22223.09245414854	35793.882642787845	48388.72737044504	80730.99359247515	24603.389640101646	23534.875499616017	35517.89782076158
50572.33470251946	9146.429978805274	415.7042851884253	6114.653886470958	0	24579.875761074178	94654.38348958548	94654.38348958548	60247.06173372622	81633.13774822159	60147.061733726296	13502.43978395006	16108.438567677582	29679.228756316887	54503.381256916015	86845.6474789461	18488.735753630688	17420.22161314506	29403.243934290622
75152.21046359366	15433.445782268904	24164.171475885752	30694.529647545136	24579.875761074178	0	119234.25925065967	119234.25925065967	84826.93749480041	106213.01350929578	84726.93749480048	11077.435977124118	8471.437193396596	5099.352995242709	79083.2570179902	111425.5232400203	6091.14000744349	7159.654147929119	4823.368173216446
65225.206477453416	103800.81346839078	95070.08777477393	88539.72960311454	94654.38348958551	119234.25925065968	0	0	74899.93350866018	39125.88268495766	74799.93350866025	108156.82327353556	110762.82205726308	124333.61224590239	69156.25303184998	7808.736010639382	113143.11924321619	112074.60510273057	124057.62742387613
65225.206477453416	103800.81346839078	95070.08777477393	88539.72960311454	94654.38348958551	119234.25925065968	0	0	74899.93350866018	39125.88268495766	74799.93350866025	108156.82327353556	110762.82205726308	124333.61224590239	69156.25303184998	7808.736010639382	113143.11924321619	112074.60510273057	124057.62742387613
9674.727031206763	69393.49171253148	60662.76601891464	54132.40784725526	60247.061733726216	84826.9374948004	74899.93350866018	74899.93350866018	0	61878.68776729629	99.99999999992724	73749.50151767628	76355.5003014038	89926.2904900431	5743.680476810208	67091.1974980208	78735.7974873569	77667.28334687128	89650.30566801684
52203.960736089524	90779.56772702688	82048.84203341004	75518.48386175066	81633.1377482216	106213.0135092958	39125.88268495766	39125.88268495766	61878.68776729629	0	61778.68776729636	95135.57753217168	97741.57631589919	111312.3665045385	56135.00729048608	31317.146674318275	100121.8735018523	99053.35936136667	111036.38168251223
