site,maxPowerAvg,maxPeriod,MP,river,gageID,year_sta,year_end,reg
BEAR_11414196_1981_2013,9.393074688171177,11.656876857637508,0.24390243902439027,BEAR,11414196,1981,2013,Y
BEAR_11421770_1966_2016,2.8033637728940324,12.49353127206934,0.23529411764705882,BEAR,11421770,1966,2016,Y
BEAR_11421790_1965_2016,2.3769792420113247,11.656876857637508,0.3877551020408163,BEAR,11421790,1965,2016,Y
BEAR_11421900_1986_2016,10.168840903294592,11.656876857637508,0.3636363636363636,BEAR,11421900,1986,2016,Y
BEAR_11422500_1965_2016,7.630126080993977,12.06795573225041,0.6666666666666666,BEAR,11422500,1965,2016,Y
BEAR_11423000_1941_1967,9.582080651864072,12.06795573225041,0.9000000000000001,BEAR,11423000,1941,1967,N
MFA_11427765_1973_2016,3.4642319057154523,11.656876857637508,0.13043478260869565,MFA,11427765,1973,2016,Y
MFA_11427770_1965_2016,3.6593728458947608,12.06795573225041,0.08510638297872342,MFA,11427770,1965,2016,Y
MFA_11433212_1973_2016,4.784146123171864,11.656876857637508,0.2058823529411765,MFA,11433212,1973,2016,Y
MFA_11433300_1964_2016,5.110977151781435,12.06795573225041,0.4,MFA,11433300,1964,2016,Y
MFA_11433500_1911_1964,14.588772067495142,12.06795573225041,0.8823529411764705,MFA,11433500,1911,1964,N
MFA_11433500_1964_1986,6.109621303093844,12.06795573225041,0.56,MFA,11433500,1964,1986,Y
MFY_11408550_1987_2016,3.7541718010589396,11.656876857637508,0.10958904109589042,MFY,11408550,1987,2016,Y
MFY_11408880_1968_2016,2.12963326646654,11.656876857637508,0.3,MFY,11408880,1968,2016,Y
MFY_11409000_1941_1969,6.367543779563108,12.06795573225041,0.8823529411764705,MFY,11409000,1941,1969,N
MFY_11410000_1912_1940,11.101494468389014,12.06795573225041,0.8787878787878787,MFY,11410000,1912,1940,N
NFA_11426500_1911_1941,15.802922450185486,12.06795573225041,0.8571428571428572,NFA,11426500,1911,1941,N
NFA_11427000_1941_2017,8.061666937575485,12.06795573225041,0.7575757575757576,NFA,11427000,1941,2017,N
NFMFA_11433260_1965_1985,7.6474508121330995,12.06795573225041,0.8064516129032259,NFMFA,11433260,1965,1985,N
NFY_11410500_1923_1944,16.53636566727712,12.06795573225041,0.8000000000000002,NFY,11410500,1923,1944,N
NFY_11413000_1930_2017,10.775180358343144,12.06795573225041,0.7499999999999999,NFY,11413000,1930,2017,N
NFY_11413100_1968_1987,8.417117380237162,12.06795573225041,0.7741935483870968,NFY,11413100,1968,1987,N
ORCK_11409300_1967_2000,9.190122527632713,12.06795573225041,0.8571428571428572,ORCK,11409300,1967,2000,N
ORCK_11409400_1968_2016,1.8240316967124477,11.656876857637508,0.3863636363636364,ORCK,11409400,1968,2016,Y
RUB_11431000_1943_1964,8.117116342428803,12.06795573225041,0.8974358974358974,RUB,11431000,1943,1964,N
RUB_11433200_1958_1964,4.284991848176241,12.06795573225041,0.88,RUB,11433200,1958,1964,N
RUB_11433200_1964_1984,2.981590683638228,12.06795573225041,0.6875,RUB,11433200,1964,1984,Y
SFA_11443500_1922_1957,14.229318698974888,12.06795573225041,0.823529411764706,SFA,11443500,1922,1957,N
SFA_11443500_1957_2016,3.184856341050956,12.06795573225041,0.24137931034482762,SFA,11443500,1957,2016,Y
SFA_11444500_1911_1920,25.58381762998068,12.06795573225041,0.9318181818181818,SFA,11444500,1911,1920,N
SFA_11444500_1964_2016,8.599768463849582,12.06795573225041,0.41379310344827586,SFA,11444500,1964,2016,Y
SFA_11445000_1929_1941,18.33325465065694,12.06795573225041,0.8571428571428571,SFA,11445000,1929,1941,N
SFA_11445500_1951_1960,9.629035264883186,12.06795573225041,0.9285714285714286,SFA,11445500,1951,1960,N
SFA_11445500_1961_1995,6.945511900870104,12.06795573225041,0.4615384615384615,SFA,11445500,1961,1995,Y
SFY_11414250_1965_2016,2.132957758584438,11.656876857637508,0.3170731707317073,SFY,11414250,1965,2016,Y
SFY_11417000_1942_1953,4.943674504317698,12.06795573225041,0.8409090909090909,SFY,11417000,1942,1953,N
SFY_11417500_1940_1948,11.331905817337615,12.06795573225041,0.8666666666666667,SFY,11417500,1940,1948,N
SFY_11417500_1959_2016,5.445491769832367,12.06795573225041,0.6774193548387096,SFY,11417500,1959,2016,Y
